id,source,relation,target
700,16069,hypernym,16047
701,16075,hypernym,1000108
702,16090,hypernym,1000055
703,16249,hypernym,1000018
704,16252,hypernym,1000146
705,16277,hypernym,1000133
706,16297,hypernym,1000026
707,16405,hypernym,1000172
708,16406,hypernym,1000042
709,16420,hypernym,1000172
710,16630,hypernym,18711
711,16649,hypernym,722
712,16650,hypernym,1000025
713,16657,hypernym,1000147
714,16689,hypernym,1000020
715,16691,hypernym,1000169
716,16784,hypernym,1000047
717,16785,hypernym,1000042
718,16786,hypernym,16784
719,16787,hypernym,18711
720,16789,hypernym,16784
721,16973,hypernym,1000073
722,16977,hypernym,1000072
723,16978,hypernym,1000072
724,17040,hypernym,1000108
725,17042,hypernym,1000026
726,17045,hypernym,17042
727,17046,hypernym,17042
728,17047,hypernym,17042
729,17060,hypernym,1000075
730,17091,hypernym,6428
731,17092,hypernym,17040
732,17252,hypernym,1000100
733,17337,hypernym,1000072
734,17349,hypernym,1000152
735,17350,hypernym,1000123
736,17415,hypernym,1000046
737,17542,hypernym,1000025
738,17543,hypernym,5326
739,17556,hypernym,1000017
740,17619,hypernym,1000005
741,17649,hypernym,1000133
742,17965,hypernym,1000026
743,18129,hypernym,1768
744,18130,hypernym,2305
745,18136,hypernym,1000128
746,18137,hypernym,1000130
747,18138,hypernym,18136
748,18161,hypernym,1000078
749,18162,hypernym,11618
750,18163,hypernym,18161
751,18354,hypernym,1000172
752,18362,hypernym,1000147
753,18376,hypernym,1000061
754,18437,hypernym,1000172
755,18479,hypernym,1000164
756,18480,hypernym,1000163
757,18489,hypernym,1000163
758,18563,hypernym,1000149
759,18709,hypernym,1000172
760,18711,hypernym,1000166
761,18712,hypernym,1000166
762,18713,hypernym,18711
763,18714,hypernym,18711
764,18715,hypernym,18711
765,18716,hypernym,18711
766,18725,hypernym,1000003
767,18732,hypernym,1000019
768,18919,hypernym,1000000
769,18933,hypernym,1000014
770,18934,hypernym,18933
771,18935,hypernym,18933
772,19071,hypernym,1000101
773,19079,hypernym,1000108
774,19092,hypernym,1000081
775,19111,hypernym,8692
776,19139,hypernym,1000105
777,19151,hypernym,1000172
778,19164,hypernym,1000048
779,19190,hypernym,1000154
780,19435,hypernym,1000025
781,19436,hypernym,1000068
782,19446,hypernym,1000128
783,19528,hypernym,17349
784,19529,hypernym,16001
785,19690,hypernym,1000097
786,19691,hypernym,1000013
787,19695,hypernym,1000170
788,19717,hypernym,1000136
789,19720,hypernym,9075
790,19766,hypernym,1000053
791,19870,hypernym,1000012
792,19907,hypernym,1000090
793,20038,hypernym,1000010
794,20102,hypernym,1000136
795,20200,hypernym,1000049
796,20274,hypernym,20274
797,20278,hypernym,20274
798,20371,hypernym,1000054
799,20743,hypernym,14423
800,20748,hypernym,14663
801,20781,hypernym,16047
802,20924,hypernym,1000173
803,20962,hypernym,16069
804,21094,hypernym,1000108
805,21099,hypernym,1000097
806,21188,hypernym,1000108
807,21302,hypernym,1000022
808,21368,hypernym,1000172
809,21665,hypernym,1000172
810,21716,hypernym,1000119
811,21718,hypernym,1000108
812,21828,hypernym,1000118
813,21831,hypernym,14423
814,21862,hypernym,1000108
815,21866,hypernym,1000026
816,21867,hypernym,21866
817,21868,hypernym,21866
818,21869,hypernym,21866
819,21870,hypernym,21866
820,21871,hypernym,21866
821,21872,hypernym,21866
822,21899,hypernym,1000108
823,21900,hypernym,21899
824,21901,hypernym,21899
825,21902,hypernym,21899
826,21903,hypernym,21899
827,21904,hypernym,21899
828,21905,hypernym,21899
829,21908,hypernym,14483
830,21909,hypernym,1000108
831,21920,hypernym,17415
832,21942,hypernym,1000108
833,21958,hypernym,1000108
834,22067,hypernym,22075
835,22069,hypernym,18933
836,22073,hypernym,1000155
837,22075,hypernym,1000157
838,1000108,hyponym,59
839,1000160,hyponym,325
840,325,hyponym,341
841,16047,hyponym,347
842,18711,hyponym,376
843,18136,hyponym,427
844,1000172,hyponym,435
845,1000172,hyponym,716
846,1000108,hyponym,722
847,1000067,hyponym,723
848,722,hyponym,725
849,722,hyponym,726
850,722,hyponym,727
851,722,hyponym,728
852,722,hyponym,729
853,18712,hyponym,730
854,722,hyponym,731
855,1000004,hyponym,732
856,722,hyponym,733
857,722,hyponym,734
858,722,hyponym,736
859,722,hyponym,737
860,722,hyponym,738
861,722,hyponym,739
862,722,hyponym,740
863,18712,hyponym,741
864,740,hyponym,742
865,722,hyponym,745
866,722,hyponym,746
867,756,hyponym,747
868,722,hyponym,748
869,722,hyponym,749
870,723,hyponym,750
871,722,hyponym,751
872,722,hyponym,752
873,766,hyponym,753
874,722,hyponym,754
875,722,hyponym,755
876,722,hyponym,756
877,722,hyponym,757
878,722,hyponym,758
879,722,hyponym,759
880,722,hyponym,760
881,798,hyponym,761
882,722,hyponym,762
883,722,hyponym,764
884,722,hyponym,766
885,766,hyponym,767
886,722,hyponym,768
887,722,hyponym,769
888,722,hyponym,770
889,722,hyponym,771
890,722,hyponym,772
891,722,hyponym,773
892,722,hyponym,774
893,722,hyponym,775
894,722,hyponym,776
895,722,hyponym,777
896,722,hyponym,779
897,783,hyponym,780
898,766,hyponym,781
899,722,hyponym,782
900,722,hyponym,783
901,722,hyponym,784
902,722,hyponym,785
903,722,hyponym,786
904,722,hyponym,787
905,741,hyponym,788
906,722,hyponym,789
907,722,hyponym,790
908,722,hyponym,791
909,722,hyponym,792
910,789,hyponym,793
911,738,hyponym,794
912,722,hyponym,798
913,1000172,hyponym,972
914,1000131,hyponym,976
915,1000025,hyponym,1026
916,1000159,hyponym,1034
917,1026,hyponym,1045
918,1000172,hyponym,1074
919,1000008,hyponym,1092
920,1000052,hyponym,1193
921,1000006,hyponym,1208
922,1000006,hyponym,1209
923,1000006,hyponym,1213
924,1000006,hyponym,1214
925,1000006,hyponym,1216
926,1000006,hyponym,1225
927,1000168,hyponym,1236
928,1236,hyponym,1237
929,1236,hyponym,1238
930,1236,hyponym,1240
931,1236,hyponym,1241
932,1236,hyponym,1244
933,1000067,hyponym,1247
934,722,hyponym,1254
935,776,hyponym,1257
936,1000108,hyponym,1429
937,722,hyponym,1430
938,1000172,hyponym,1436
939,2436,hyponym,1437
940,12054,hyponym,1445
941,1000026,hyponym,1502
942,1000025,hyponym,1508
943,1000108,hyponym,1512
944,1000009,hyponym,1523
945,1000007,hyponym,1533
946,1000031,hyponym,1587
947,15833,hyponym,1597
948,1000001,hyponym,1759
949,1000018,hyponym,1767
950,1000042,hyponym,1768
951,1000108,hyponym,1769
952,1000172,hyponym,1776
953,1768,hyponym,1777
954,1000043,hyponym,1778
955,1000026,hyponym,1779
956,1000172,hyponym,1842
957,1000108,hyponym,1867
958,1000108,hyponym,1868
959,1000108,hyponym,1869
960,12346,hyponym,1870
961,1000108,hyponym,1871
962,1000108,hyponym,1937
963,1000092,hyponym,1938
964,1000017,hyponym,1974
965,1000017,hyponym,1975
966,1000108,hyponym,2019
967,1000011,hyponym,2027
968,1000025,hyponym,2036
969,2036,hyponym,2038
970,2036,hyponym,2039
971,7792,hyponym,2041
972,2064,hyponym,2043
973,2036,hyponym,2044
974,2036,hyponym,2056
975,1000025,hyponym,2057
976,1000011,hyponym,2060
977,2036,hyponym,2064
978,1000018,hyponym,2126
979,1000018,hyponym,2144
980,1000020,hyponym,2247
981,1000020,hyponym,2251
982,1000020,hyponym,2252
983,1000020,hyponym,2253
984,1000020,hyponym,2255
985,1000020,hyponym,2256
986,1000071,hyponym,2264
987,1000128,hyponym,2266
988,1000026,hyponym,2274
989,2274,hyponym,2277
990,2274,hyponym,2278
991,2274,hyponym,2280
992,2280,hyponym,2281
993,1000023,hyponym,2285
994,1000044,hyponym,2305
995,1000108,hyponym,2340
996,1000108,hyponym,2433
997,1000108,hyponym,2434
998,1000108,hyponym,2436
999,1000178,hyponym,2475
1000,2912,hyponym,2532
1001,1000141,hyponym,2599
1002,1000050,hyponym,2762
1003,1000025,hyponym,2769
1004,1000108,hyponym,2787
1005,8155,hyponym,2788
1006,1000108,hyponym,2789
1007,8158,hyponym,2790
1008,12984,hyponym,2791
1009,12984,hyponym,2792
1010,8158,hyponym,2793
1011,2787,hyponym,2794
1012,1000026,hyponym,2816
1013,2816,hyponym,2817
1014,2816,hyponym,2819
1015,1000108,hyponym,2830
1016,1000108,hyponym,2838
1017,2838,hyponym,2839
1018,2838,hyponym,2840
1019,2838,hyponym,2841
1020,2838,hyponym,2842
1021,2838,hyponym,2844
1022,1000108,hyponym,2845
1023,1000095,hyponym,2861
1024,1000040,hyponym,2869
1025,1000128,hyponym,2896
1026,1000041,hyponym,2912
1027,1938,hyponym,3002
1028,1000108,hyponym,3014
1029,3014,hyponym,3015
1030,3014,hyponym,3016
1031,3014,hyponym,3017
1032,3014,hyponym,3018
1033,3014,hyponym,3019
1034,3014,hyponym,3020
1035,3014,hyponym,3021
1036,3014,hyponym,3022
1037,3014,hyponym,3023
1038,3021,hyponym,3024
1039,3014,hyponym,3025
1040,3014,hyponym,3026
1041,3014,hyponym,3027
1042,1000004,hyponym,3029
1043,3014,hyponym,3030
1044,3014,hyponym,3031
1045,3014,hyponym,3032
1046,3014,hyponym,3033
1047,1000089,hyponym,3035
1048,3014,hyponym,3036
1049,1000158,hyponym,3043
